molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,570000,570.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,3260,1114,5513,2.934797209475412,0.197689309226703,570026.3928292871,0.05135842195320801,20230508154742,1,570025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,580000,580.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,3218,1107,5359,2.9178606960578124,0.2116140378719534,580026.3875871683,0.03709414332858406,20230508154820,1,580025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,590000,590.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,3098,1059,5249,2.942403808897846,0.27752744119141853,590026.3704997698,0.03539304649435219,20230508154858,1,590025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,600000,600.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,3148,1056,5255,2.9873209399214944,0.1888441589992031,600026.4216662244,0.04206525914928097,20230508154923,1,600025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,610000,610.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,3017,1073,5185,2.8245514175386837,0.19313986830597607,610026.385155653,0.1019749763308938,20230508154948,1,610025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,620000,620.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,2927,980,4889,2.9974556664591407,0.21693199162757426,620026.4368982805,0.04740458174611435,20230508155014,1,620025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,630000,630.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,2961,969,4909,3.0848952367764246,0.34727850717087194,630026.3075817022,0.050494564697583635,20230508155048,1,630025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,640000,640.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,2789,1056,4847,2.649689050058716,0.18173448357339395,640026.323246433,0.08534670915400665,20230508155122,1,640025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,650000,650.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,2839,950,4803,2.988015805667756,0.06612111054488765,650026.329607252,0.05327521062437984,20230508155210,1,650025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,660000,660.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,2755,901,4616,3.059439755700064,0.09604742434397771,660026.3756431073,0.04732414389380085,20230508155322,1,660025
