molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,380000,380.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4819,1640,8080,2.939729415327627,0.07529973817837574,380026.3981232958,0.07303032002357636,20230508153416,1,380025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,390000,390.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4750,1643,7982,2.8919329344527007,0.051370437418151386,390026.3355892885,0.049506734475957756,20230508153432,1,390025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,400000,400.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4665,1560,7826,3.009450617047885,0.2853181225990164,400026.3422120955,0.0888723992055575,20230508153449,1,400025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,410000,410.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4414,1520,7491,2.9094093555809835,0.15316858195461114,410026.3750850373,0.06306036812179722,20230508153506,1,410025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,420000,420.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4354,1536,7440,2.8499907803346036,0.2239846376005498,420026.3607068168,0.06333682376010312,20230508153527,1,420025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,430000,430.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4294,1511,7376,2.8432269863217243,0.1621340603682297,430026.3658126268,0.051354730984219166,20230508153548,1,430025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,440000,440.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4314,1504,7214,2.870865841982457,0.12970062565851903,440026.37003236904,0.043482863221652346,20230508153610,1,440025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,450000,450.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4083,1381,6882,2.9639773444260027,0.15316527582639108,450026.3891074808,0.03761673368882934,20230508153631,1,450025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,460000,460.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4021,1392,6825,2.8912404037649204,0.1037451944796825,460026.45055026084,0.06303003078925058,20230508153652,1,460025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,470000,470.0,5,<function gentle_check at 0x0000029015310E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,4093,1338,6791,3.063809178783825,0.17745423781490627,470026.42023844895,0.052480279787161334,20230508153714,1,470025
