sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000029D7E383280>,<__main__.ExcitationProperties object at 0x0000029D7E383640>,50,1550.0,2014.54,42.34251291550845,713.84,26.686595886324653,2728.38,51.556528199637334,2.82603744517433,0.12049013122285714,20230530_140707,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382A10>
<__main__.SampleProperties object at 0x0000029D7E382890>,<__main__.ExcitationProperties object at 0x0000029D7E383610>,50,1600.0,2024.4,40.8387071293889,715.68,29.623936267822344,2740.08,50.199537846478236,2.8334693968978595,0.129802919439226,20230530_140921,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E381ED0>
<__main__.SampleProperties object at 0x0000029D7E382980>,<__main__.ExcitationProperties object at 0x0000029D7E383160>,50,1650.0,2022.26,45.21363068810113,721.6,25.095816384409574,2743.86,52.955834428323385,2.805724647587582,0.11258696133712211,20230530_141134,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383010>
<__main__.SampleProperties object at 0x0000029D7E382AA0>,<__main__.ExcitationProperties object at 0x0000029D7E382D10>,50,1700.0,2024.92,46.39993103443151,720.06,25.865351341128154,2744.98,54.39466517959276,2.8156203138133447,0.115224976046551,20230530_141356,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E3835B0>
<__main__.SampleProperties object at 0x0000029D7E382F80>,<__main__.ExcitationProperties object at 0x0000029D7E382920>,50,1750.0,2017.24,43.56583982893019,716.78,26.418395106440514,2734.02,53.70567567771585,2.8178845007942517,0.11456157228025844,20230530_141614,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382C20>
<__main__.SampleProperties object at 0x0000029D7E3835B0>,<__main__.ExcitationProperties object at 0x0000029D7E383190>,50,1800.0,2026.1,47.54713450882188,720.66,26.62225384898882,2746.76,60.838987499793255,2.814509010063689,0.10444213016357393,20230530_141837,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383220>
<__main__.SampleProperties object at 0x0000029D7E382410>,<__main__.ExcitationProperties object at 0x0000029D7E3830A0>,50,1850.0,2037.88,53.282507448505086,717.98,26.50395442193485,2755.86,52.47666529039359,2.8429493098587812,0.14350123099944623,20230530_142059,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382A10>
<__main__.SampleProperties object at 0x0000029D7E37E2C0>,<__main__.ExcitationProperties object at 0x0000029D7E3835E0>,50,1900.0,2018.54,36.96550283710476,714.68,24.84708433599403,2733.22,45.29074519148477,2.8278016521727922,0.11130301988830231,20230530_142320,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E37CDC0>
<__main__.SampleProperties object at 0x0000029D7E382620>,<__main__.ExcitationProperties object at 0x0000029D7E383250>,50,1950.0,2022.68,45.095205953626596,718.34,24.903501761800488,2741.02,46.66925754712624,2.8196019015694542,0.12617426065488224,20230530_142545,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383640>
<__main__.SampleProperties object at 0x0000029D7E382CE0>,<__main__.ExcitationProperties object at 0x0000029D7E382E00>,50,2000.0,2023.34,39.055657720745145,715.68,27.356491003050813,2739.02,49.67353017453058,2.831139013227662,0.11689854101719864,20230530_142810,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383490>
